trial_id,fold,generator,generator_type,winning_model,penalized_loss
1,0,full_reciprocal_positive,positive,full_reciprocal,1.082043798352091
1,1,full_reciprocal_positive,positive,full_reciprocal,1.0107351140701932
1,2,full_reciprocal_positive,positive,full_reciprocal,0.9221571391509035
1,3,full_reciprocal_positive,positive,full_reciprocal,0.9854378197475869
1,4,full_reciprocal_positive,positive,full_reciprocal,1.0935901580092822
1,5,full_reciprocal_positive,positive,full_reciprocal,1.1045987486410773
2,0,full_reciprocal_positive,positive,full_reciprocal,0.9895556572031887
2,1,full_reciprocal_positive,positive,full_reciprocal,0.8593863968926458
2,2,full_reciprocal_positive,positive,full_reciprocal,1.0209501761654807
2,3,full_reciprocal_positive,positive,full_reciprocal,1.064280996455106
2,4,full_reciprocal_positive,positive,eta_only,0.8954836460893745
2,5,full_reciprocal_positive,positive,colored_noise_alt,0.9862561734015012
3,0,full_reciprocal_positive,positive,full_reciprocal,1.083307640187014
3,1,full_reciprocal_positive,positive,full_reciprocal,1.1414793635255873
3,2,full_reciprocal_positive,positive,full_reciprocal,0.9636851118024694
3,3,full_reciprocal_positive,positive,full_reciprocal,0.9961053313302471
3,4,full_reciprocal_positive,positive,full_reciprocal,0.9960419217271875
3,5,full_reciprocal_positive,positive,full_reciprocal,0.9875690278483085
4,0,full_reciprocal_positive,positive,full_reciprocal,1.0141421601963003
4,1,full_reciprocal_positive,positive,full_reciprocal,1.1677544173250547
4,2,full_reciprocal_positive,positive,zeta_only,0.9651816190723974
4,3,full_reciprocal_positive,positive,full_reciprocal,0.98230121843698
4,4,full_reciprocal_positive,positive,full_reciprocal,1.0359361846282118
4,5,full_reciprocal_positive,positive,full_reciprocal,1.0147643777335007
5,0,full_reciprocal_positive,positive,full_reciprocal,1.2153527340629025
5,1,full_reciprocal_positive,positive,eta_only,1.2101373885183735
5,2,full_reciprocal_positive,positive,zeta_only,1.267473299600784
5,3,full_reciprocal_positive,positive,full_reciprocal,1.1308066847242846
5,4,full_reciprocal_positive,positive,full_reciprocal,1.0578971714357535
5,5,full_reciprocal_positive,positive,zeta_only,0.9172533895438475
6,0,full_reciprocal_positive,positive,full_reciprocal,1.0542911301074944
6,1,full_reciprocal_positive,positive,full_reciprocal,0.9327065399922423
6,2,full_reciprocal_positive,positive,full_reciprocal,0.982880199200583
6,3,full_reciprocal_positive,positive,full_reciprocal,1.060571208720842
6,4,full_reciprocal_positive,positive,full_reciprocal,0.9772750826587483
6,5,full_reciprocal_positive,positive,full_reciprocal,1.10520464674967
7,0,full_reciprocal_positive,positive,full_reciprocal,1.0242450631534095
7,1,full_reciprocal_positive,positive,full_reciprocal,0.962477298869479
7,2,full_reciprocal_positive,positive,zeta_only,1.1931303646604798
7,3,full_reciprocal_positive,positive,zeta_only,1.2233765371141245
7,4,full_reciprocal_positive,positive,full_reciprocal,0.9433156693265461
7,5,full_reciprocal_positive,positive,full_reciprocal,1.1214477385623478
8,0,full_reciprocal_positive,positive,full_reciprocal,1.0655716041617174
8,1,full_reciprocal_positive,positive,full_reciprocal,1.1772472687796431
8,2,full_reciprocal_positive,positive,full_reciprocal,1.007670509863225
8,3,full_reciprocal_positive,positive,full_reciprocal,0.9313731900547537
8,4,full_reciprocal_positive,positive,full_reciprocal,0.9285279731359972
8,5,full_reciprocal_positive,positive,eta_only,1.0972569424292942
9,0,full_reciprocal_positive,positive,full_reciprocal,1.0227609438590934
9,1,full_reciprocal_positive,positive,full_reciprocal,1.076969284475734
