penalty,positive_full_plus_K_lock_rate,positive_full_predictive_win_rate,positive_K_significant_rate,positive_K_within_15_rate,positive_K_within_10_rate,null_false_full_plus_K_lock_rate,null_full_predictive_win_rate,null_raw_K_significant_rate,score
0.0,1.0,1.0,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,1.0
0.02,1.0,1.0,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,1.0
0.04,0.9666666666666667,0.9666666666666667,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,0.9666666666666667
0.06,0.9,0.9,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,0.9
0.08,0.7,0.7,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,0.625
0.1,0.4666666666666667,0.4666666666666667,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,0.275
0.12,0.3,0.3,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,0.024999999999999967
0.14,0.15,0.15,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,-0.19999999999999998
0.16,0.03333333333333333,0.03333333333333333,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,-0.375
0.18,0.016666666666666666,0.016666666666666666,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,-0.39999999999999997
0.2,0.016666666666666666,0.016666666666666666,1.0,1.0,0.95,0.0,0.0,0.011428571428571429,-0.39999999999999997
