original_path,new_windows_safe_path
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/CHECKSUMS_SHA256.txt","PRAYCG_OPS_v1_3/CHECKSUMS_SHA256.txt"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/CHANGELOG_MASTER_OPS_v1_1.md","PRAYCG_OPS_v1_3/00_START_HERE/CHANGELOG_MASTER_OPS_v1_1.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/CLAIMS_BOUNDARY.md","PRAYCG_OPS_v1_3/00_START_HERE/CLAIMS_BOUNDARY.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/COMPONENT_MANIFEST.json","PRAYCG_OPS_v1_3/00_START_HERE/COMPONENT_MANIFEST.json"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/PYTHON_CODE_INDEX.csv","PRAYCG_OPS_v1_3/00_START_HERE/PYTHON_CODE_INDEX.csv"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/PYTHON_CODE_INDEX.json","PRAYCG_OPS_v1_3/00_START_HERE/PYTHON_CODE_INDEX.json"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/PYTHON_CODE_INDEX_v1_2.csv","PRAYCG_OPS_v1_3/00_START_HERE/PYTHON_CODE_INDEX_v1_2.csv"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/PYTHON_CODE_INDEX_v1_2.json","PRAYCG_OPS_v1_3/00_START_HERE/PYTHON_CODE_INDEX_v1_2.json"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/README_START_HERE.md","PRAYCG_OPS_v1_3/00_START_HERE/README_START_HERE.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/README_START_HERE_v1_2_UPDATE.md","PRAYCG_OPS_v1_3/00_START_HERE/README_START_HERE_v1_2_UPDATE.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/REQUIREMENTS_ROLLUP_README.txt","PRAYCG_OPS_v1_3/00_START_HERE/REQUIREMENTS_ROLLUP_README.txt"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/RUN_ORDER_KISS.md","PRAYCG_OPS_v1_3/00_START_HERE/RUN_ORDER_KISS.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/VERSION_MANIFEST.json","PRAYCG_OPS_v1_3/00_START_HERE/VERSION_MANIFEST.json"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/00_START_HERE/VERSION_MANIFEST_v1_2.json","PRAYCG_OPS_v1_3/00_START_HERE/VERSION_MANIFEST_v1_2.json"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/CHECKSUMS_SHA256.txt","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/CHECKSUMS_SHA256.txt"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/PATCH_NOTES_v1_6S_ALS_FULLSCREEN_START_PULSE.md","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/PATCH_NOTES_v1_6S_ALS_FULLSCREEN_START_PULSE.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/README_PRAYCG_MediaPrep_Protocol_v1_6S.md","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/README_PRAYCG_MediaPrep_Protocol_v1_6S.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/requirements_PRAYCG_MediaPrep_Protocol_v1_6S.txt","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/requirements_PRAYCG_MediaPrep_Protocol_v1_6S.txt"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/examples/run_media_prep_gui_windows_v1_6S.bat","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/examples/run_media_prep_gui_windows_v1_6S.bat"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/examples/run_media_prep_headless_fullscreen_als_windows_v1_6S.bat","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/examples/run_media_prep_headless_fullscreen_als_windows_v1_6S.bat"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/scripts/praycg_media_prep_gui_v1_6S.py","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/scripts/praycg_media_prep_gui_v1_6S.py"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/01_StimulusPrep_MediaPrep_v1_6S/scripts/run_PRAYCG_MediaPrep_v1_6S.py","PRAYCG_OPS_v1_3/01_StimulusPrep_MediaPrep_v1_6S/scripts/run_PRAYCG_MediaPrep_v1_6S.py"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/README_PRAYCG1_8B.md","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/README_PRAYCG1_8B.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/requirements_PRAYCG1_8B.txt","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/requirements_PRAYCG1_8B.txt"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/docs/ANCHOR_DOCTRINE_PRAYCG1_8B.md","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/docs/ANCHOR_DOCTRINE_PRAYCG1_8B.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/docs/HER_113P9_ANCHOR_NOTE.md","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/docs/HER_113P9_ANCHOR_NOTE.md"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/examples/run_PRAYCG1_8B_windows.bat","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/examples/run_PRAYCG1_8B_windows.bat"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/examples/run_PRAYCG1_8B_with_Her_anchor_EDIT_PATHS.bat","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/examples/run_PRAYCG1_8B_with_Her_anchor_EDIT_PATHS.bat"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/scripts/run_PRAYCG1_8B_PredeclaredAnchors.py","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/scripts/run_PRAYCG1_8B_PredeclaredAnchors.py"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/scripts/run_praycg_v1_8B.py","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/scripts/run_praycg_v1_8B.py"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/templates/Her_media_structural_anchors_v1_8B.json","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/templates/Her_media_structural_anchors_v1_8B.json"
"PRAYCG_Master_Operations_Pack_v1_2_AllCode_WindowsSafe/02_ProtocolRunner_PRAYCG1_8B/templates/predeclared_anchor_template_v1_8B.csv","PRAYCG_OPS_v1_3/02_ProtocolRunner_PRAYCG1_8B/templates/predeclared_anchor_template_v1_8B.csv"
