condition,stimulus_regressor,signal,max_abs_corr,lag_sec_signal_after_regressor,signal_dominant_freq_hz,signal_dominant_power,cue_frequency_hz
CONTROL_1,cue_on_3s,meaninggamma_score,-0.06954007555636588,2,0.046875,0.4442670717522823,0.3333333333333333
CONTROL_1,cue_on_3s,tsp_z,-0.07897847329735876,2,0.046875,0.31381813590225355,0.3333333333333333
CONTROL_1,cue_on_3s,taskgamma_score,-0.044557422263096995,10,0.078125,10.587218559903071,0.3333333333333333
CONTROL_1,cue_on_3s,theta_integration_z,-0.05630829033649463,-8,0.0546875,87.42526584716164,0.3333333333333333
CONTROL_1,cue_on_3s,gamma_visual_30_45_z,-0.05476336146423972,10,0.09375,11.229234271087877,0.3333333333333333
CONTROL_1,cue_on_3s,gamma_front_35_40_z,-0.05066579678313242,10,0.078125,14.235862023956718,0.3333333333333333
CONTROL_1,cue_on_3s,nas_score,0.05329446611540626,-8,0.09375,7.30447247800283,0.3333333333333333
CONTROL_1,cue_on_3s,NIP_density,0.04039552563667918,0,0.0234375,0.042746295783320724,0.3333333333333333
TARGET_1,cue_on_3s,meaninggamma_score,-0.031166576579834803,8,0.0234375,3.9641069748847055,0.3333333333333333
TARGET_1,cue_on_3s,tsp_z,-0.021898172345414038,3,0.0234375,3.3589113497589147,0.3333333333333333
TARGET_1,cue_on_3s,taskgamma_score,-0.06163330840567623,-1,0.0390625,12.723031198729672,0.3333333333333333
TARGET_1,cue_on_3s,theta_integration_z,0.031629646929073496,10,0.109375,130.19309615548931,0.3333333333333333
TARGET_1,cue_on_3s,gamma_visual_30_45_z,-0.06140525177986902,-1,0.0625,23.772148480572724,0.3333333333333333
TARGET_1,cue_on_3s,gamma_front_35_40_z,-0.06278802124077634,-1,0.0390625,16.81135780673662,0.3333333333333333
TARGET_1,cue_on_3s,nas_score,0.049857962745740045,-1,0.109375,15.495586446622346,0.3333333333333333
TARGET_1,cue_on_3s,NIP_density,-0.01477787439231803,-10,0.0234375,9.620648702827893,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,meaninggamma_score,-0.02991079891106426,0,0.03125,0.8867963896171336,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,tsp_z,-0.03140607805461271,3,0.03125,0.8584910202267607,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,taskgamma_score,-0.07687036948853895,0,0.0390625,5.042986375528579,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,theta_integration_z,-0.03878385577388637,9,0.046875,12.069807656858552,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,gamma_visual_30_45_z,-0.06974911673426448,1,0.0390625,2.242846860813462,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,gamma_front_35_40_z,-0.07616284350435654,0,0.0234375,6.307205327395303,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,nas_score,0.034433448084492904,0,0.046875,1.5732980734431863,0.3333333333333333
CONTEXTUAL_OVERRIDE_1,cue_on_3s,NIP_density,-0.049147223899747405,-8,0.0234375,0.006599665797219249,0.3333333333333333
